id,scenarioname,customername,customerriskscore,concentrationrisk,sourcecountrisk,geographicrisk,latitude,longitude,riskratingname,userdefinedrisk
637,1. China 2 MFGs Only,CZ_Atlanta,7.423628424161,10.0,10.0,3.559071060402,33.748992,-84.390264,OptiRisk,
638,1. China 2 MFGs Only,CZ_Fresno,7.093628424161,10.0,10.0,2.734071060402,36.739442,-119.784831,OptiRisk,
639,1. China 2 MFGs Only,CZ_Pittsburgh,7.370996653931,10.0,10.0,3.427491634827,40.441694,-79.990086,OptiRisk,
640,1. China 2 MFGs Only,CZ_Raleigh,7.382769008172,10.0,10.0,3.45692252043,35.780398,-78.639099,OptiRisk,
641,1. China 2 MFGs Only,CZ_Salt Lake City,7.243628424161,10.0,10.0,3.109071060402,40.75962,-111.886798,OptiRisk,
642,1. China 2 MFGs Only,CZ_Seattle,7.243628424161,10.0,10.0,3.109071060402,47.603832,-122.330062,OptiRisk,
643,3. All 4 MFGs,CZ_Atlanta,7.423628424161,10.0,10.0,3.559071060402,33.748992,-84.390264,OptiRisk,
644,3. All 4 MFGs,CZ_Fresno,7.093628424161,10.0,10.0,2.734071060402,36.739442,-119.784831,OptiRisk,
645,3. All 4 MFGs,CZ_Pittsburgh,7.370996653931,10.0,10.0,3.427491634827,40.441694,-79.990086,OptiRisk,
646,3. All 4 MFGs,CZ_Raleigh,7.382769008172,10.0,10.0,3.45692252043,35.780398,-78.639099,OptiRisk,
647,3. All 4 MFGs,CZ_Salt Lake City,7.243628424161,10.0,10.0,3.109071060402,40.75962,-111.886798,OptiRisk,
648,3. All 4 MFGs,CZ_Seattle,7.243628424161,10.0,10.0,3.109071060402,47.603832,-122.330062,OptiRisk,
649,2. Brazil and Vietnam MFG Only,CZ_Atlanta,7.423628424161,10.0,10.0,3.559071060402,33.748992,-84.390264,OptiRisk,
650,2. Brazil and Vietnam MFG Only,CZ_Fresno,7.093628424161,10.0,10.0,2.734071060402,36.739442,-119.784831,OptiRisk,
651,2. Brazil and Vietnam MFG Only,CZ_Pittsburgh,7.370996653931,10.0,10.0,3.427491634827,40.441694,-79.990086,OptiRisk,
652,2. Brazil and Vietnam MFG Only,CZ_Raleigh,7.382769008172,10.0,10.0,3.45692252043,35.780398,-78.639099,OptiRisk,
653,2. Brazil and Vietnam MFG Only,CZ_Salt Lake City,7.243628424161,10.0,10.0,3.109071060402,40.75962,-111.886798,OptiRisk,
654,2. Brazil and Vietnam MFG Only,CZ_Seattle,7.243628424161,10.0,10.0,3.109071060402,47.603832,-122.330062,OptiRisk,
655,4. Max Emissions Cap,CZ_Atlanta,7.423628424161,10.0,10.0,3.559071060402,33.748992,-84.390264,OptiRisk,
656,4. Max Emissions Cap,CZ_Fresno,7.093628424161,10.0,10.0,2.734071060402,36.739442,-119.784831,OptiRisk,
657,4. Max Emissions Cap,CZ_Pittsburgh,7.370996653931,10.0,10.0,3.427491634827,40.441694,-79.990086,OptiRisk,
658,4. Max Emissions Cap,CZ_Raleigh,7.382769008172,10.0,10.0,3.45692252043,35.780398,-78.639099,OptiRisk,
659,4. Max Emissions Cap,CZ_Salt Lake City,7.243628424161,10.0,10.0,3.109071060402,40.75962,-111.886798,OptiRisk,
660,4. Max Emissions Cap,CZ_Seattle,7.243628424161,10.0,10.0,3.109071060402,47.603832,-122.330062,OptiRisk,
661,Baseline,CZ_Atlanta,7.423628424161,10.0,10.0,3.559071060402,33.748992,-84.390264,OptiRisk,
662,Baseline,CZ_Fresno,7.093628424161,10.0,10.0,2.734071060402,36.739442,-119.784831,OptiRisk,
663,Baseline,CZ_Pittsburgh,7.370996653931,10.0,10.0,3.427491634827,40.441694,-79.990086,OptiRisk,
664,Baseline,CZ_Raleigh,7.382769008172,10.0,10.0,3.45692252043,35.780398,-78.639099,OptiRisk,
665,Baseline,CZ_Salt Lake City,7.243628424161,10.0,10.0,3.109071060402,40.75962,-111.886798,OptiRisk,
666,Baseline,CZ_Seattle,7.243628424161,10.0,10.0,3.109071060402,47.603832,-122.330062,OptiRisk,
